province,district,crop,csa,adoption,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,productivity,adaptation,mitigation,hazard,hazard_1,hazard_2,hazard_3,barrier_1,b1_exp,barrier_2,b2_exp,name,contact,source
Punjab,Muzaffargarh,Cotton,Laser land levelling,Want to adopt,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,Salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link
Punjab,Muzaffargarh,Cotton,Raised Bed Planting,Adopted 60%,Yield Income,Water,Soil & Nutrient,Plant Animal health,,,"Increase yields by 15-30% [1,2,3,4]
29% increase in economic returns [3]","Water saving by 20-50% [1,2]
Less moisture stress during non rainy days 
Better weed management 
Better drainage following heavy rains
Easier to apply zero-till in following crop rotation","Increased nutrient uptake efficiency by 15-30%, reducing inorganic fertilizer requirement [3]",Drought,Flooding,Pest & Disease,,Training & Info,Farmers lack information on the benefits,Environmental,Farmers prefer the use of a seed drill on flat land with available irrigation water,Nam Nguyen,,link
Punjab,Muzaffargarh,Cotton,Intergrated Soil Fertility Management (ISFM),Want to adopt,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",Salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
Punjab,Muzaffargarh,Cotton,Crop Rotation,"Adopted<30%(Rice, maize, oil seed)",Soil & Nutrient,Biodiversity,Plant Animal health,Yield Income,Carbon,Water,Crop rotation increases total production and productivity per unit area of land. Harvests of multiple crops from this system increase farmer’s income and food security.,This practice reduces the risk of total crop failure due to diversification of crops under climatic shocks. Improves soil fertility. Rotating crops maintains soil fertility and minimizes the incidence of pests and diseases.,"The practice of crop rotation helps to protect soil structure, increases soil organic matter and organic carbon reserves. Leguminous species integration reduces the need of synthetic fertilizers. When combined with nitrogen fixation species (leguminous) reduces the use of nitrogen-based synthetic fertilizers.",Pest & Disease,Drought,High temps,Flooding,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
Punjab,Muzaffargarh,Cotton,Integrated Pest Management (IPM),Adopted<30%,Plant Animal health,Yield Income,Pollution,Biodiversity,Landscapes,,"Reduces losses from pests, improves yields [2]
Reduces cost of pesticide purchase [1,2], doses of pesticide chemicals can be largely reduced (up to 41 percent) on IPM-trained farms [4]
Maintains or increases the cost-effectiveness of pest management programs [1]","Builds resilience of plants to pests [1]
Protects beneficial non-target species [1]
Lower impact on surrounding landscape supports greater biodversity [3]","Reduces the potential for air and ground water contamination [1]
Reduces exposure of workers to pesticides [1]",Pest & Disease,,,,Training & Info,Farmers lack information on the benefits,Market,Cant access equipment,Nam Nguyen,,link
Punjab,Muzaffargarh,Mango,Intergrated Soil Fertility Management (ISFM),D 30---60 fodder crops,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",Salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
Punjab,Muzaffargarh,Mango,Composting,Want to adopted,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
Punjab,Muzaffargarh,Mango,Liming,D 30---60,Soil & Nutrient,Yield Income,Carbon,,,,"Allows production in soils with adverse chemical characteristics (low pH). Increases income per unit of area or produce. 
The Zn and lime application and their interaction significantly increased the soil amino acids, with potential to double rice yields in zinc-deficient soils.","Progressive reduction of lime application
can be achieved through inclusion of
organic matter/fertilizers, enhancing
biological activity and subsequently soil
fertility","In combination with organic fertilizers
improves soil carbon stocks and organic
matter content, hence reducing gradually
the use of synthetic fertilizers and
associated GHG emissions.",Pest & Disease,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
Punjab,Muzaffargarh,Mango,"Irrigation practices (Drip, Sprinkler, Regulated deficit)",Want to adopt,Water,Carbon,Plant Animal health,Yield Income,,,"Plants receive exact water requirement,
improving productivity and quality. 
Improves or maintains yield per unit of
water","Improved water use efficiency, reducing
requirement in times of drought.
In combination with standardized irrigation
designs/schemes leads to water use
efficiency reducing the water demand in
drought prone areas. Minimizes erosion.","Reduced pumping costs due to precision
application
Reduces energy requirements for irrigation
hence associated GHG emissions per unit
of produce.",Drought,Pest & Disease,,,Economic,Higher costs for production,,,Nam Nguyen,,link
Punjab,Muzaffargarh,Mango,Improved Varieties,Want to Adopt,Crop & Livestock Suitability,Plant Animal health,Yield Income,Water,Carbon,,"High yielding, resilient varieties reduce
losses and increase productivity.","Improved varieties reduce losses under
adverse climatic conditions along with pest
and disease outbreaks.","Reduced requirement for pesticide and
fungicide use reduces emissions and
associated environmental degradation.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link
Punjab,Muzaffargarh,Wheat,Laser land levelling,Want to Adopt and adopted,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,Salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link
Punjab,Muzaffargarh,Wheat,Laser land levelling,Want to Adopt,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,Salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link
Punjab,Muzaffargarh,Wheat,Community based seed quality management,Not Adopted,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote CBSS, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link
Punjab,Muzaffargarh,Wheat,Raised Bed Planting,Not Adopted,Yield Income,Water,Soil & Nutrient,Plant Animal health,,,"Increase yields by 15-30% [1,2,3,4]
29% increase in economic returns [3]","Water saving by 20-50% [1,2]
Less moisture stress during non rainy days 
Better weed management 
Better drainage following heavy rains
Easier to apply zero-till in following crop rotation","Increased nutrient uptake efficiency by 15-30%, reducing inorganic fertilizer requirement [3]",Drought,Flooding,Pest & Disease,,Training & Info,Farmers lack information on the benefits,Environmental,Farmers prefer the use of a seed drill on flat land with available irrigation water,Nam Nguyen,,link
Punjab,Muzaffargarh,Wheat,Zero-till (Drill),Not Adopted,Yield Income,Water,Soil & Nutrient,Carbon,,,"Yield gains, cost savings on labour and machinery up to 34% [1]
More than 30.00% saving of irrigation and saving of complete land preparation costs have been reported also, the sowing of wheat after rice under Zero-Tillage, when compared to conventional method, gave 20.20% more grain yield with a reduced cost of land preparation and a net benefit of 77.00% [2]",Reduced water usage [1] crop residues are left on the soil surface which adds to soil organic matter content [2] and avoids late planting and mitigates the effects of poor land preparation,Reduce GHG due to no crop residue burning [1],Drought,,,,Environmental,Saline and poorly drained with hard pan soils are not suitable for zero-till,,,Nam Nguyen,,link
Punjab,Muzaffargarh,Wheat,Seed treatment (disease),Not Adopted,Plant Animal health,Yield Income,,,,,Yield increase and reduction of losses,protect seeds from microbial pathogens and insect pests. Maintain crop health,,Pest & Disease,,,,Training & Info,Farmers lack training for the practice,Economic,Higher costs for production,Nam Nguyen,,link
KP,Chitral,Wheat,Community based seed quality management,<30 %,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote CBSS, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link
KP,Chitral,Wheat,Intergrated Soil Fertility Management (ISFM),Want to adopt,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",Salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
KP,Chitral,Wheat,Composting,30-60 %,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
KP,Chitral,Wheat,Crop Rotation,"<30 % (Potato, peas)",Soil & Nutrient,Biodiversity,Plant Animal health,Yield Income,Carbon,Water,Crop rotation increases total production and productivity per unit area of land. Harvests of multiple crops from this system increase farmer’s income and food security.,This practice reduces the risk of total crop failure due to diversification of crops under climatic shocks. Improves soil fertility. Rotating crops maintains soil fertility and minimizes the incidence of pests and diseases.,"The practice of crop rotation helps to protect soil structure, increases soil organic matter and organic carbon reserves. Leguminous species integration reduces the need of synthetic fertilizers. When combined with nitrogen fixation species (leguminous) reduces the use of nitrogen-based synthetic fertilizers.",Pest & Disease,Drought,High temps,Flooding,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
KP,Chitral,Wheat,Season-adapted planting times (e.g. use of cropping calendars),>60 %,Plant Animal health,Yield Income,Carbon,,,,"Increases land and crop productivity per
unit of water.",Adjusting the cropping calendar by planting with the onset of rains reduces losses due to changing weather patterns.,"Provides moderate reduction in GHG
emissions per unit of food produced.",High temps,Heavy rains,,,Environmental,Varying and uncertain climate conditions,Training & Info,Farmers lack training for the practice,Nam Nguyen,,link
KP,Chitral,Potato,Community based seed quality management,< 30 %,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote CBSS, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link
KP,Chitral,Potato,Raised Bed Planting,>60 %,Yield Income,Water,Soil & Nutrient,Plant Animal health,,,"Increase yields by 15-30% [1,2,3,4]
29% increase in economic returns [3]","Water saving by 20-50% [1,2]
Less moisture stress during non rainy days 
Better weed management 
Better drainage following heavy rains
Easier to apply zero-till in following crop rotation","Increased nutrient uptake efficiency by 15-30%, reducing inorganic fertilizer requirement [3]",Drought,Flooding,Pest & Disease,,Training & Info,Farmers lack information on the benefits,Environmental,Farmers prefer the use of a seed drill on flat land with available irrigation water,Nam Nguyen,,link
KP,Chitral,Potato,Organic farming,<30 %,Yield Income,Water,Biodiversity,Plant Animal health,Soil & Nutrient,Carbon,"Decreased input costs. Higher farm incomes are thus
possible due to lower input costs and higher sale prices.The average per month income associated with
organic farmers is significantly higher than conventional
households (PKR 34,033 and 30,170 respectively). 
","enhance soil fertility, soils are improved by
developing drainage system as well as the use of organic material","minimizing the pollution and wastage of resources, such as fertiliser",Pest & Disease,Drought,,,Policy & Inst,Limited institutional support and subsidies for organic agriculture,Market,Markets not well developed for organic produce,Nam Nguyen,,link
KP,Chitral,Potato,Intergrated Soil Fertility Management (ISFM),Want to adopt,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",Salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
KP,Chitral,Potato,Season-adapted planting times (e.g. use of cropping calendars),30-60 %,Plant Animal health,Yield Income,Carbon,,,,"Increases land and crop productivity per
unit of water.",Adjusting the cropping calendar by planting with the onset of rains reduces losses due to changing weather patterns.,"Provides moderate reduction in GHG
emissions per unit of food produced.",High temps,Heavy rains,,,Environmental,Varying and uncertain climate conditions,Training & Info,Farmers lack training for the practice,Nam Nguyen,,link
KP,Chitral,Apricot,Improved Varieties,"<30 % (quality fruit regarding size, shape and taste)",Crop & Livestock Suitability,Plant Animal health,Yield Income,Water,Carbon,,"High yielding, resilient varieties reduce
losses and increase productivity.","Improved varieties reduce losses under
adverse climatic conditions along with pest
and disease outbreaks.","Reduced requirement for pesticide and
fungicide use reduces emissions and
associated environmental degradation.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link
KP,Chitral,Apricot,Intergrated Soil Fertility Management (ISFM),Want to adopt,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",Salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
KP,Chitral,Apricot,Composting,Want to adopt,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link
KP,Chitral,Apricot,Harvesting at optimal time,30-60%,Yield Income,Plant Animal health,,,,,Yield preservation,Reduce post-harvest losses,,Drought,Flooding,,,,,,,Nam Nguyen,,link
KP,Chitral,Apricot,Integrated Pest Management (IPM),Want to adopt,Plant Animal health,Yield Income,Pollution,Biodiversity,Landscapes,,"Reduces losses from pests, improves yields [2]
Reduces cost of pesticide purchase [1,2], doses of pesticide chemicals can be largely reduced (up to 41 percent) on IPM-trained farms [4]
Maintains or increases the cost-effectiveness of pest management programs [1]","Builds resilience of plants to pests [1]
Protects beneficial non-target species [1]
Lower impact on surrounding landscape supports greater biodversity [3]","Reduces the potential for air and ground water contamination [1]
Reduces exposure of workers to pesticides [1]",Pest & Disease,,,,Training & Info,Farmers lack information on the benefits,Market,Cant access equipment,Nam Nguyen,,link
Sindh,Tharparkar,Beans,Community based seed quality management,Want to adopt 30-60% (cluster bean with cucurbits and Moth (kidney bean),Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote CBSS, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link
Sindh,Tharparkar,Beans,Crop diversification,Want to adopt (cluster bean with cucurbits and Moth (kidney bean),Yield Income,Crop & Livestock Suitability,Soil & Nutrient,Plant Animal health,Biodiversity,,"yield stability in crop production, efficient use of labor and resources, high returns to
labo","spread production and income risk over a wider range of crops, thus reducing livelihood vulnerability to weather or market shocks.
produce agronomic benefits in terms of pest management and soil quality",,Drought,Flooding,Pest & Disease,,Training & Info,Farmers lack training for the practice,Market,Inadequate supply of seeds and plants of improved cultivars,Nam Nguyen,,link
Sindh,Tharparkar,Beans,Early Maturing Varieties,Want to adopt,Crop & Livestock Suitability,Yield Income,Plant Animal health,Carbon,,,"Promotes high yields per unit area hence
an increase in income and profit due to
reduced production costs","reducing the vulnerability of farmers to extreme events.
reduce harvest and post?harvest loses and increases the food security
Optimizes the use of available soil moisture contributing to avoid crop loss. Increases water use efficiency.","Provides moderate reduction in GHG
emissions per unit of food produced.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link
Sindh,Tharparkar,Beans,Improved Varieties,Want to adopt,Crop & Livestock Suitability,Plant Animal health,Yield Income,Water,Carbon,,"High yielding, resilient varieties reduce
losses and increase productivity.","Improved varieties reduce losses under
adverse climatic conditions along with pest
and disease outbreaks.","Reduced requirement for pesticide and
fungicide use reduces emissions and
associated environmental degradation.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link
